method,top_k,recall,precision,f1
BM25_Only,3,0.4846333333333333,0.3733333333333333,0.4158509379509379
BM25_Only,4,0.4474979822437449,0.274818401937046,0.3348504938698643
BM25_Only,5,0.4606895806312148,0.2300907911802853,0.3017300972553891
BM25_Only,6,0.621375,0.2416333333333333,0.3434168831168831
BM25_Only,7,0.4914567901234568,0.1796825396825396,0.2588610895277562
BM25_Only,8,0.48144,0.1566,0.2325682317682317
BM25_Only,9,0.4980178671133445,0.1457286432160804,0.222115615523833
BM25_Only,10,0.4968395945140131,0.130948121645796,0.204246910910596
BM25_Only,11,0.5137016229712859,0.1232550221314266,0.1960233451976068
BM25_Only,12,0.5187915006640106,0.1158698539176626,0.1868456147399198
BM25_Only,13,0.5265998593530239,0.1087309315157416,0.1778015351525168
BM25_Only,14,0.5312639821029083,0.102428891019495,0.1695200073542791
BM25_Only,15,0.5335110584518167,0.0973143759873617,0.1624536375585007
BM25_Only,16,0.5473456790123457,0.0936728395061728,0.1579238687815685
BM25_Only,17,0.554706390328152,0.0911307528192624,0.1545716156084778
BM25_Only,18,0.5619763205828779,0.0871281117182756,0.1490250681448115
BM25_Only,19,0.5729468599033816,0.0845156369183829,0.1455479147098554
BM25_Only,20,0.5614583333333333,0.0790625,0.1370390207618468
FAISS_Only,3,0.4854666666666666,0.3723333333333333,0.4156858585858586
FAISS_Only,4,0.4308415032679738,0.2631740196078431,0.3213283924680983
FAISS_Only,5,0.4518300653594771,0.2243137254901961,0.2948913613619496
FAISS_Only,6,0.6155916666666666,0.2382999999999999,0.3392981962481962
FAISS_Only,7,0.4688796155791603,0.1716887058313461,0.2473377406609576
FAISS_Only,8,0.4643382352941176,0.1523692810457516,0.2258293585499468
FAISS_Only,9,0.4796375570776256,0.1394596651445966,0.2128979367395966
FAISS_Only,10,0.4965176399026763,0.1301094890510948,0.2032230087430817
FAISS_Only,11,0.5092465753424658,0.1225760540829034,0.1947933984752461
FAISS_Only,12,0.5079625706214689,0.1131709039548022,0.182583647865926
FAISS_Only,13,0.508201655379985,0.1059211668692481,0.1729466575747562
FAISS_Only,14,0.5241745283018868,0.1019204851752021,0.1684650996205409
FAISS_Only,15,0.5301507537688442,0.0966499162479062,0.1614662596292038
FAISS_Only,16,0.5320375335120643,0.090985254691689,0.1534980313730137
FAISS_Only,17,0.5473087818696883,0.0888185302449591,0.1510330608233513
FAISS_Only,18,0.5408152734778122,0.0832473340213278,0.1425577540868966
FAISS_Only,19,0.548547149122807,0.0796398891966759,0.1374302404837302
FAISS_Only,20,0.568815331010453,0.0787456445993031,0.1366909916826596
ScoreFusion_Hybrid,3,0.53955,0.4163333333333333,0.4634318903318903
ScoreFusion_Hybrid,4,0.4808578745198463,0.2996158770806658,0.3629392516716461
ScoreFusion_Hybrid,5,0.4935016362786349,0.2502103786816269,0.3264352213160067
ScoreFusion_Hybrid,6,0.6743583333333334,0.2618,0.3723880952380952
ScoreFusion_Hybrid,7,0.5078177257525084,0.1906354515050167,0.272711420871956
ScoreFusion_Hybrid,8,0.5118468468468468,0.1693693693693693,0.2504834054834055
ScoreFusion_Hybrid,9,0.52625,0.1559829059829059,0.2369206924297422
ScoreFusion_Hybrid,10,0.531245722108145,0.1441478439425051,0.2233891308326626
ScoreFusion_Hybrid,11,0.5452303815694745,0.1354800706852542,0.2138134965601214
ScoreFusion_Hybrid,12,0.5540409899458623,0.1266434648105181,0.2032314704690847
ScoreFusion_Hybrid,13,0.5475625000000001,0.1169230769230769,0.1899906567890314
ScoreFusion_Hybrid,14,0.5584418402777778,0.1117931547619047,0.1837590645392261
ScoreFusion_Hybrid,15,0.5819826007326008,0.108058608058608,0.1798572993710774
ScoreFusion_Hybrid,16,0.569469696969697,0.099810606060606,0.167740667094734
ScoreFusion_Hybrid,17,0.5858465608465608,0.0965452847805788,0.1637644333558031
ScoreFusion_Hybrid,18,0.6061717861205915,0.0946150929086082,0.1618334650461078
ScoreFusion_Hybrid,19,0.5856410256410256,0.0882591093117408,0.1515919105049539
ScoreFusion_Hybrid,20,0.5916329284750337,0.0860323886639676,0.1485068431539123
